+--------------+----------+---------------+-------------------+--------+-------+-------------------------+-------------------------+----------------------------------------------------+--------+----------------------------------------+----------+
|    corpus    |  optim   | learning_rate | start_decay_steps | length |  type |        start_time       |         end_time        |                     model_path                     |  score | path                                   |     size |
| Clean-cs-en  |   sgd    |      0.1      |       21500       |  4581  | train | 2019-07-23 08:08:29,108 | 2019-07-23 11:02:12,883 |                        None                        | 22.932 | wtmgws6-Clean-cs-en-2-.32              |  40.6KiB |
| Tagged-cs-en |   sgd    |      0.1      |       50000       | 24141  | train | 2019-07-01 02:47:36,030 | 2019-07-01 05:58:04,467 |   /data/4dahmen/Tagged-cs-en/train/Tagged-cs-en    | 22.882 | wtmgws6-train-2019-07-01T02+02:00.log  | 213.6KiB |
| Clean-cs-en  |   sgd    |      0.1      |       50000       |  4581  | train | 2019-07-23 05:14:35,090 | 2019-07-23 08:08:17,337 |                        None                        | 22.860 | wtmgws6-Clean-cs-en-2-.31              |  40.6KiB |
| Clean-cs-en  |   sgd    |      0.1      |       50000       | 10531  | train | 2019-06-30 17:57:58,811 | 2019-06-30 21:14:23,788 |    /data/4dahmen/Clean-cs-en/train/Clean-cs-en     | 22.805 | wtmgws6-train-2019-06-30T17+02:00.log  | 113.1KiB |
| Clean-cs-en  |   sgd    |      0.1      |       21500       |  4751  | train | 2019-07-07 22:58:37,563 | 2019-07-08 02:13:50,431 |    /data/4dahmen/Clean-cs-en/train/Clean-cs-en     | 22.193 | wtmgws6-train-2019-07-07T22+02:00.log  |  40.8KiB |
| Tagged-de-en | adagrad  |      0.01     |       19750       |  1901  | train | 2019-07-03 10:06:29,432 |           None          |   /data/4dahmen/Tagged-de-en/train/Tagged-de-en    | 22.025 | wtmgws2-train-2019-07-03T10+02:00.log  |  11.1KiB |
| Clean-de-en  |   sgd    |      0.1      |        9875       |  4471  | train | 2019-07-06 17:24:29,677 | 2019-07-06 20:05:45,065 |    /data/4dahmen/Clean-de-en/train/Clean-de-en     | 21.078 | wtmgws6-train-2019-07-06T17+02:00.log  |  37.8KiB |
| Clean-de-en  | adadelta |      0.1      |       19750       |  4501  | train | 2019-07-03 01:05:17,796 | 2019-07-03 04:19:13,450 |    /data/4dahmen/Clean-de-en/train/Clean-de-en     | 20.974 | wtmgws6-train-2019-07-03T01+02:00.log  |  37.9KiB |
| Tagged-de-en | adadelta |      0.1      |       19750       |  4461  | train | 2019-07-03 02:31:30,728 | 2019-07-03 06:04:10,673 |   /data/4dahmen/Tagged-de-en/train/Tagged-de-en    | 20.660 | wtmgws2-train-2019-07-03T02+02:00.log  |  37.9KiB |
| Tagged-de-en |   sgd    |      0.1      |        9875       |  4461  | train | 2019-07-06 17:27:30,025 | 2019-07-06 20:25:40,701 |   /data/4dahmen/Tagged-de-en/train/Tagged-de-en    | 20.610 | wtmgws2-train-2019-07-06T17+02:00.log  |  37.9KiB |
